class,n,mean,std,p25,p50,p75,p95,p99,max
legitimate,6354407,178197.046875,596237.0,13368.39501953125,74684.71875,208364.765625,515610.4156249998,1586064.1574999916,92445520.0
fraud,8213,1467967.375,2404253.0,127091.328125,441423.4375,1517771.5,8006429.0,10000000.0,10000000.0
